address,company,detail,position
广州,乐有家,高中以上 | 实习 | 0.4-1.2万/月,乐有家大平台诚聘实习生
Beijing,美团，新美大,本科以上 | 3年以上 | 全职,无人机配送中心-高级通信系统工程师
Beijing,美团，新美大,本科以上 | 3年以上 | 全职,高级策略产品-地图产品
Beijing,美团，新美大,本科以上 | 3年以上 | 全职,运营设计-美团平台
Beijing,美团，新美大,本科以上 | 4年以上 | 全职,基础技术部-基础架构高级工程师专家
Beijing,美团，新美大,本科以上 | 4年以上 | 全职,大公交-后端产品经理
上海,美团，新美大,本科以上 | 3-5年 | 全职 | 20000-40000元,产品经理
Beijing,美团，新美大,硕士以上 | 3年以上 | 全职,无人机-算法组-控制算法工程师专家
上海,美团，新美大,本科以上 | 5年以上 | 全职,到店技术-高级系统开发工程师-数据业务
上海,美团，新美大,本科以上 | 3年以上 | 全职,平台技术-数据开发数据仓库工程师-上海
Beijing,美团，新美大,本科以上 | 5年以上 | 全职 | 60.0-90.0万元,基础技术部-Java开发经理架构师
上海,美团，新美大,本科以上 | 5年以上 | 全职 | 30.0-42.0万元,资深视觉设计师
Beijing,美团，新美大,本科以上 | 3-5年 | 全职 | 25000-40000元,美团地图-搜索架构工程师
Beijing,美团，新美大,本科以上 | 5-10年 | 全职 | 30000-40000元,SaaS营销市场经理
Beijing,美团，新美大,本科以上 | 3年以上 | 全职,无人配送部- 视觉SLAM算法工程师
Beijing,美团，新美大,本科以上 | 3年以上 | 全职 | 30.0-42.0万元,B2B业务部-高级JAVA开发工程师
上海,三一重工,硕士以上 | 4年以上 | 全职 | 30.0-48.0万元,大数据项目经理
Beijing,三一重工,本科以上 | 5年以上 | 全职,高级Java软件工程师
上海,三一重工,本科以上 | 5年以上 | 全职 | 21.6-36.0万元,高级软件测试工程师
长沙,三一重工,本科以上 | 全职,智能制造副总监
长沙,三一重工,本科以上 | 5年以上 | 全职 | 18.0-36.0万元,MES系统主管
Beijing,三一重工,本科以上 | 2年以上 | 全职,人力资源行业研究经理
长沙,三一重工,本科以上 | 全职 | 19.2-38.4万元,机械研发工程师
娄底,三一重工,本科以上 | 3年以上 | 全职 | 10.4-19.5万元,装配工艺工程师
长沙,三一重工,大专以上 | 全职 | 4.8-14.4万元,销售工程师
Beijing,三一重工,硕士以上 | 3年以上 | 全职 | 24.0-48.0万元,商业智能分析专家
长沙,三一重工,本科以上 | 8年以上 | 全职,市场部长
湘潭,三一重工,本科以上 | 8年以上 | 全职 | 30.0-39.6万元,叶片子公司制造部部监
Beijing,三一重工,本科以上 | 10年以上 | 全职 | 72.0-96.0万元,组织发展副总监
Beijing,三一重工,本科以上 | 3年以上 | 全职 | 15.6-30.0万元,数据库管理员
长沙,三一重工,本科以上 | 3年以上 | 全职 | 12.0-36.0万元,系统架构师
上海,腾讯,本科以上 | 5年以上 | 全职,15573-风格化现代军事2D场景设计师
西安,腾讯,本科以上 | 1-3年 | 全职 | 10000-20000元,主要负责腾讯云国际业务的本地化相关工作 1.负责
西安,腾讯,本科以上 | 1-3年 | 全职 | 10000-20000元,腾讯云国际站前端研发
Beijing,腾讯,本科以上 | 3年以上 | 全职,30623-腾讯广告联盟后台开发高级工程师
深圳,腾讯,本科以上 | 8年以上 | 全职,31498-游戏服务器主程序
深圳,腾讯,本科以上 | 5-10年 | 全职 | 50000-80000元,信息安全高级实施工程师
深圳,腾讯,本科以上 | 3年以上 | 全职,15570-RPG手游数据分析运营
深圳,腾讯,大专以上 | 2年以上 | 全职,21309-教育子公司-腾讯课堂-短视频运营
Beijing,腾讯,2年以上 | 全职,36960-推荐引擎后台开发工程师
深圳,腾讯,本科以上 | 3年以上 | 全职,58947-19881-王者荣耀高级社区渠道运营
深圳,腾讯,3年以上 | 全职,PCG09-腾讯看点信息流推荐算法高级研究员
深圳,腾讯,本科以上 | 1-3年 | 全职 | 16000-30000元,GY0-后台测试开发工程师
深圳,腾讯,大专以上 | 8年以上 | 全职,58647-17229-和平精英-资深3D角色设计师
深圳,腾讯,本科以上 | 2年以上 | 全职,PCG04-工具链高级后台开发工程师
深圳,腾讯,本科以上 | 5年以上 | 全职,22989-腾讯云中长尾运营leader
杭州,阿里,3年以上 | 全职,达摩院-测试开发专家-自然语言智能
杭州,阿里,3年以上 | 全职,阿里集团-CRO-风险策略专家-Beijing
杭州,阿里,5年以上 | 全职,企业智能事业部-高级产品运营专家-新零售
